Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
China;GDP From Construction;1992-03-31T00:00:00;181.9;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1992-06-30T00:00:00;500.5;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1992-09-30T00:00:00;840.3;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1992-12-31T00:00:00;1415;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1993-03-31T00:00:00;297.1;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1993-06-30T00:00:00;827.4;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1993-09-30T00:00:00;1389.6;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1993-12-31T00:00:00;2266.5;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1994-03-31T00:00:00;410.3;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1994-06-30T00:00:00;1116;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1994-09-30T00:00:00;1846.7;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1994-12-30T00:00:00;2964.7;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1995-03-31T00:00:00;522.9;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1995-06-30T00:00:00;1420.5;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1995-09-29T00:00:00;2348.3;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1995-12-29T00:00:00;3728.8;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1996-03-29T00:00:00;599.9;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1996-06-28T00:00:00;1661.1;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1996-09-30T00:00:00;2776.5;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1996-12-31T00:00:00;4387.4;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1997-03-31T00:00:00;653.9;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1997-06-30T00:00:00;1772.6;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1997-09-30T00:00:00;2926.7;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1997-12-31T00:00:00;4621.6;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1998-03-31T00:00:00;683.5;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1998-06-30T00:00:00;1858;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;1998-09-30T00:00:00;3120.2;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
