DATE,WPU1011
2009-09-28,140.4
2009-09-29,140.4
2009-09-30,140.4
2009-10-01,140.4
2009-10-02,140.4
2009-10-03,140.4
2009-10-04,140.4
2009-10-05,140.4
2009-10-06,140.4
2009-10-07,140.4
2009-10-08,140.4
2009-10-09,140.4
2009-10-10,140.4
2009-10-11,140.4
2009-10-12,140.4
2009-10-13,140.4
2009-10-14,140.4
2009-10-15,140.4
2009-10-16,140.4
2009-10-17,140.4
2009-10-18,140.4
2009-10-19,140.4
2009-10-20,140.4
2009-10-21,140.4
2009-10-22,140.4
2009-10-23,140.4
2009-10-24,140.4
2009-10-25,140.4
2009-10-26,140.4
2009-10-27,140.4
2009-10-28,140.4
2009-10-29,140.4
2009-10-30,140.4
2009-10-31,140.4
2009-11-01,145.8
2009-11-02,145.8
2009-11-03,145.8
2009-11-04,145.8
2009-11-05,145.8
2009-11-06,145.8
2009-11-07,145.8
2009-11-08,145.8
2009-11-09,145.8
2009-11-10,145.8
2009-11-11,145.8
2009-11-12,145.8
2009-11-13,145.8
2009-11-14,145.8
2009-11-15,145.8
2009-11-16,145.8
2009-11-17,145.8
2009-11-18,145.8
2009-11-19,145.8
2009-11-20,145.8
2009-11-21,145.8
2009-11-22,145.8
2009-11-23,145.8
2009-11-24,145.8
2009-11-25,145.8
2009-11-26,145.8
2009-11-27,145.8
2009-11-28,145.8
2009-11-29,145.8
2009-11-30,145.8
2009-12-01,145.9
2009-12-02,145.9
2009-12-03,145.9
2009-12-04,145.9
2009-12-05,145.9
2009-12-06,145.9
2009-12-07,145.9
2009-12-08,145.9
2009-12-09,145.9
2009-12-10,145.9
2009-12-11,145.9
2009-12-12,145.9
2009-12-13,145.9
2009-12-14,145.9
2009-12-15,145.9
2009-12-16,145.9
2009-12-17,145.9
2009-12-18,145.9
2009-12-19,145.9
2009-12-20,145.9
2009-12-21,145.9
2009-12-22,145.9
2009-12-23,145.9
2009-12-24,145.9
2009-12-25,145.9
2009-12-26,145.9
2009-12-27,145.9
2009-12-28,145.9
2009-12-29,145.9
2009-12-30,145.9
2009-12-31,145.9
2010-01-01,139.6
2010-01-02,139.6
2010-01-03,139.6
2010-01-04,139.6
2010-01-05,139.6
2010-01-06,139.6
2010-01-07,139.6
2010-01-08,139.6
2010-01-09,139.6
2010-01-10,139.6
2010-01-11,139.6
2010-01-12,139.6
2010-01-13,139.6
2010-01-14,139.6
2010-01-15,139.6
2010-01-16,139.6
2010-01-17,139.6
2010-01-18,139.6
2010-01-19,139.6
2010-01-20,139.6
2010-01-21,139.6
2010-01-22,139.6
2010-01-23,139.6
2010-01-24,139.6
2010-01-25,139.6
2010-01-26,139.6
2010-01-27,139.6
2010-01-28,139.6
2010-01-29,139.6
2010-01-30,139.6
2010-01-31,139.6
2010-02-01,139.6
2010-02-02,139.6
2010-02-03,139.6
2010-02-04,139.6
2010-02-05,139.6
2010-02-06,139.6
2010-02-07,139.6
2010-02-08,139.6
2010-02-09,139.6
2010-02-10,139.6
2010-02-11,139.6
2010-02-12,139.6
2010-02-13,139.6
2010-02-14,139.6
2010-02-15,139.6
2010-02-16,139.6
2010-02-17,139.6
2010-02-18,139.6
2010-02-19,139.6
2010-02-20,139.6
2010-02-21,139.6
2010-02-22,139.6
2010-02-23,139.6
2010-02-24,139.6
2010-02-25,139.6
2010-02-26,139.6
2010-02-27,139.6
2010-02-28,139.6
2010-03-01,140.6
2010-03-02,140.6
2010-03-03,140.6
2010-03-04,140.6
2010-03-05,140.6
2010-03-06,140.6
2010-03-07,140.6
2010-03-08,140.6
2010-03-09,140.6
2010-03-10,140.6
2010-03-11,140.6
2010-03-12,140.6
2010-03-13,140.6
2010-03-14,140.6
2010-03-15,140.6
2010-03-16,140.6
2010-03-17,140.6
2010-03-18,140.6
2010-03-19,140.6
2010-03-20,140.6
2010-03-21,140.6
2010-03-22,140.6
2010-03-23,140.6
2010-03-24,140.6
2010-03-25,140.6
2010-03-26,140.6
2010-03-27,140.6
2010-03-28,140.6
2010-03-29,140.6
2010-03-30,140.6
2010-03-31,140.6
2010-04-01,140.7
2010-04-02,140.7
2010-04-03,140.7
2010-04-04,140.7
2010-04-05,140.7
2010-04-06,140.7
2010-04-07,140.7
2010-04-08,140.7
2010-04-09,140.7
2010-04-10,140.7
2010-04-11,140.7
2010-04-12,140.7
2010-04-13,140.7
2010-04-14,140.7
2010-04-15,140.7
2010-04-16,140.7
2010-04-17,140.7
2010-04-18,140.7
2010-04-19,140.7
2010-04-20,140.7
2010-04-21,140.7
2010-04-22,140.7
2010-04-23,140.7
2010-04-24,140.7
2010-04-25,140.7
2010-04-26,140.7
2010-04-27,140.7
2010-04-28,140.7
2010-04-29,140.7
2010-04-30,140.7
2010-05-01,148.4
2010-05-02,148.4
2010-05-03,148.4
2010-05-04,148.4
2010-05-05,148.4
2010-05-06,148.4
2010-05-07,148.4
2010-05-08,148.4
2010-05-09,148.4
2010-05-10,148.4
2010-05-11,148.4
2010-05-12,148.4
2010-05-13,148.4
2010-05-14,148.4
2010-05-15,148.4
2010-05-16,148.4
2010-05-17,148.4
2010-05-18,148.4
2010-05-19,148.4
2010-05-20,148.4
2010-05-21,148.4
2010-05-22,148.4
2010-05-23,148.4
2010-05-24,148.4
2010-05-25,148.4
2010-05-26,148.4
2010-05-27,148.4
2010-05-28,148.4
2010-05-29,148.4
2010-05-30,148.4
2010-05-31,148.4
2010-06-01,149.1
2010-06-02,149.1
2010-06-03,149.1
2010-06-04,149.1
2010-06-05,149.1
2010-06-06,149.1
2010-06-07,149.1
2010-06-08,149.1
2010-06-09,149.1
2010-06-10,149.1
2010-06-11,149.1
2010-06-12,149.1
2010-06-13,149.1
2010-06-14,149.1
2010-06-15,149.1
2010-06-16,149.1
2010-06-17,149.1
2010-06-18,149.1
2010-06-19,149.1
2010-06-20,149.1
2010-06-21,149.1
2010-06-22,149.1
2010-06-23,149.1
2010-06-24,149.1
2010-06-25,149.1
2010-06-26,149.1
2010-06-27,149.1
2010-06-28,149.1
2010-06-29,149.1
2010-06-30,149.1
2010-07-01,149.9
2010-07-02,149.9
2010-07-03,149.9
2010-07-04,149.9
2010-07-05,149.9
2010-07-06,149.9
2010-07-07,149.9
2010-07-08,149.9
2010-07-09,149.9
2010-07-10,149.9
2010-07-11,149.9
2010-07-12,149.9
2010-07-13,149.9
2010-07-14,149.9
2010-07-15,149.9
2010-07-16,149.9
2010-07-17,149.9
2010-07-18,149.9
2010-07-19,149.9
2010-07-20,149.9
2010-07-21,149.9
2010-07-22,149.9
2010-07-23,149.9
2010-07-24,149.9
2010-07-25,149.9
2010-07-26,149.9
2010-07-27,149.9
2010-07-28,149.9
2010-07-29,149.9
2010-07-30,149.9
2010-07-31,149.9
2010-08-01,151.4
2010-08-02,151.4
2010-08-03,151.4
2010-08-04,151.4
2010-08-05,151.4
2010-08-06,151.4
2010-08-07,151.4
2010-08-08,151.4
2010-08-09,151.4
2010-08-10,151.4
2010-08-11,151.4
2010-08-12,151.4
2010-08-13,151.4
2010-08-14,151.4
2010-08-15,151.4
2010-08-16,151.4
2010-08-17,151.4
2010-08-18,151.4
2010-08-19,151.4
2010-08-20,151.4
2010-08-21,151.4
2010-08-22,151.4
2010-08-23,151.4
2010-08-24,151.4
2010-08-25,151.4
2010-08-26,151.4
2010-08-27,151.4
2010-08-28,151.4
2010-08-29,151.4
2010-08-30,151.4
2010-08-31,151.4
2010-09-01,151.4
2010-09-02,151.4
2010-09-03,151.4
2010-09-04,151.4
2010-09-05,151.4
2010-09-06,151.4
2010-09-07,151.4
2010-09-08,151.4
2010-09-09,151.4
2010-09-10,151.4
2010-09-11,151.4
2010-09-12,151.4
2010-09-13,151.4
2010-09-14,151.4
2010-09-15,151.4
2010-09-16,151.4
2010-09-17,151.4
2010-09-18,151.4
2010-09-19,151.4
2010-09-20,151.4
2010-09-21,151.4
2010-09-22,151.4
2010-09-23,151.4
2010-09-24,151.4
2010-09-25,151.4
2010-09-26,151.4
2010-09-27,151.4
2010-09-28,151.4
2010-09-29,151.4
2010-09-30,151.4
2010-10-01,151.4
2010-10-02,151.4
2010-10-03,151.4
2010-10-04,151.4
2010-10-05,151.4
2010-10-06,151.4
2010-10-07,151.4
2010-10-08,151.4
2010-10-09,151.4
2010-10-10,151.4
2010-10-11,151.4
2010-10-12,151.4
2010-10-13,151.4
2010-10-14,151.4
2010-10-15,151.4
2010-10-16,151.4
2010-10-17,151.4
2010-10-18,151.4
2010-10-19,151.4
2010-10-20,151.4
2010-10-21,151.4
2010-10-22,151.4
2010-10-23,151.4
2010-10-24,151.4
2010-10-25,151.4
2010-10-26,151.4
2010-10-27,151.4
2010-10-28,151.4
2010-10-29,151.4
2010-10-30,151.4
2010-10-31,151.4
2010-11-01,151.5
2010-11-02,151.5
2010-11-03,151.5
2010-11-04,151.5
2010-11-05,151.5
2010-11-06,151.5
2010-11-07,151.5
2010-11-08,151.5
2010-11-09,151.5
2010-11-10,151.5
2010-11-11,151.5
2010-11-12,151.5
2010-11-13,151.5
2010-11-14,151.5
2010-11-15,151.5
2010-11-16,151.5
2010-11-17,151.5
